ean,descricao,marca,preco_unitario,preco_atacado,rede
71724960,Leite em Pó Ninho Integral 380g,Ninho,16.63,16.63,Atacadao
91036928,Leite em Pó Ninho Integral Instantâneo 380g,Ninho,16.63,16.63,Atacadao
95201942,Leite Longa Vida Natville Com Tampa Integral 1L,Natville,5.99,5.99,Atacadao
71725919,Leite em Pó Ninho Integral 750g,Ninho,32.03,32.03,Atacadao
12464903,Leite em Pó Piracanjuba Integral 200g,Piracanjuba,6.35,6.35,Atacadao
92948932,Leite em Pó Ninho Integral Instantâneo 750g,Ninho,32.03,32.03,Atacadao
73142947,Leite em Pó Ninho Integral 380g,Ninho,14.97,14.97,Atacadao
92950929,Leite em Pó Ninho Integral Instantâneo LV 380g PG 342g,Ninho,14.97,14.97,Atacadao
77814961,Leite em Pó Ninho Integral LV 750g PG 700g,Ninho,29.89,29.89,Atacadao
57912935,"Chocolate Kit Kat Nestlé Ao Leite 41,5g",Kit Kat,5.49,5.49,Atacadao
86310963,"Cobertura de Chocolate Harald Confeiteiro Ao Leite 1,010kg",Harald,25.99,25.99,Atacadao
8413942,Chocolate Baton Garoto Ao leite Display com 30 un,Garoto,47.9,47.9,Atacadao
73754991,Bala Riclan My Toffee Leite e Chocolate 500g,Riclan,16.29,16.29,Atacadao
68560934,Biscoito Wafer Hershey's Mais Ao Leite 102g,Hershey’s,5.89,5.89,Atacadao
9014946,Bala Arcor Butter Toffees Leite 400g,Butter Toffees,13.39,13.39,Atacadao
8601909,Biscoito Maizena sem Glúten Kodilar Leite Vegano 112g,Kodilar,6.49,6.49,Atacadao
89718902,Biscoito Palito Cory Chocolate ao Leite 68g,Cory,2.39,2.39,Atacadao
73755950,Bala Riclan My Toffee Leite 500g,Riclan,16.29,16.29,Atacadao
10332943,Doce de Soro de Leite Sabordê Sabor Doce de Leite 200g,Sabordê,2.45,2.45,Atacadao
61574970,"Doce de Leite Mu-Mu 4,750kg",Mu-Mu,105.9,105.9,Atacadao
59988935,Bala Caramelo Embaré Leite e Chocolate 660g,Embaré,10.89,10.89,Atacadao
59991998,Bala Caramelo Embaré Leite 660g,Embaré,10.89,10.89,Atacadao
29518926,Leite Condensado Piracanjuba Semidesnatado 395g,Piracanjuba,5.59,5.59,Atacadao
23290909,Creme de Leite Piracanjuba 200g,Piracanjuba,2.59,2.59,Atacadao
22337955,Leite Condensado Italac Semidesnatado 395g,Italac,6.09,6.09,Atacadao
18842981,Leite Condensado Moça Integral 395g,Moça,9.49,9.49,Atacadao
1599929,Creme de Leite Italac 200g,Italac,2.39,2.39,Atacadao
76636956,Leite Condensado Moça Semidesnatado 395g,Moça,6.89,6.89,Atacadao
10614979,Leite Condensado Milk + Semidesnatado 395g,Milk +,4.39,4.39,Atacadao
21220966,Creme de Leite Nestlé 200g,Nestlé,4.49,4.49,Atacadao
18843940,Creme de Leite Nestlé 300g,Nestlé,8.49,8.49,Atacadao
65335926,Mistura de Leite Mococa 200g,Mococa,1.69,1.69,Atacadao
37369998,Leite de Coco Sococo 1L,Sococo,20.49,20.49,Atacadao
75881934,Leite de Coco Fredão 500ml,Fredão,2.19,2.19,Atacadao
70508923,Leite de Coco Fredão 200ml,Fredão,0.99,0.99,Atacadao
71905927,Loção Hidratante Skala Leite de arroz 400ml,Skala,5.98,5.98,Atacadao
71904968,Loção Hidratante Skala Proteína do leite 400ml,Skala,5.98,5.98,Atacadao
3237964,Desodorante Roll-On Leite de Rosas 50ml,Leite de Rosas,5.89,5.89,Atacadao
2959979,Desodorante Leite de Rosas 310ml,Leite de Rosas,8.98,8.98,Atacadao
24750950,Desodorante Roll-On Skala Proteína do Leite 60ml,Skala,4.98,4.98,Atacadao
3230942,Desodorante Leite de Rosas 100ml,Leite de Rosas,3.59,3.59,Atacadao
3261942,Desodorante Leite de Rosas 170ml,Leite de Rosas,5.19,5.19,Atacadao
48441954,Desodorante Leite de Rosas Spray 90ml,Leite de Rosas,6.49,6.49,Atacadao
2276919,Desodorante Líquido Leite de Rosas 60ml,Leite de Rosas,2.49,2.49,Atacadao
